mode,timestamp_ns,time_from_start_s,latency_ms
INT8,1779097367958621166,0.0,39.876
INT8,1779097368074089405,0.115468239,39.897
INT8,1779097368154051633,0.19543046700000002,37.006
INT8,1779097368238682448,0.280061282,35.725
INT8,1779097368316625493,0.358004327,35.158
INT8,1779097368450044731,0.491423565,39.207
INT8,1779097368601738938,0.6431177720000001,64.03
INT8,1779097368664900170,0.7062790040000001,36.368
INT8,1779097368790453733,0.8318325670000001,35.247
INT8,1779097368891814150,0.9331929840000001,41.45
INT8,1779097368991272849,1.032651683,38.059
INT8,1779097369075617438,1.1169962720000002,37.102
INT8,1779097369195678091,1.237056925,51.731
INT8,1779097369300682724,1.3420615580000002,56.748
INT8,1779097369374307865,1.415686699,37.587
INT8,1779097369426721297,1.4681001310000001,30.591
INT8,1779097369528694576,1.57007341,30.837
INT8,1779097369626839231,1.668218065,33.193
INT8,1779097369705260629,1.7466394630000002,30.439
INT8,1779097369832701124,1.874079958,34.564
INT8,1779097369950596155,1.991974989,42.593
INT8,1779097370054258820,2.0956376540000003,36.119
INT8,1779097370132036785,2.173415619,31.337
INT8,1779097370222120999,2.263499833,30.346
INT8,1779097370334758924,2.376137758,32.388
INT8,1779097370422568606,2.46394744,34.486
INT8,1779097370546863986,2.58824282,32.705
INT8,1779097370682952047,2.724330881,39.153
INT8,1779097370734137844,2.7755166780000002,34.057
INT8,1779097370853518843,2.8948976770000003,41.607
INT8,1779097370960260068,3.0016389020000003,39.857
INT8,1779097371044011865,3.0853906990000004,43.89
INT8,1779097371177102102,3.218480936,54.571
INT8,1779097371252032570,3.293411404,38.089
INT8,1779097371332162466,3.3735413000000003,33.925
INT8,1779097371433398061,3.474776895,33.36
INT8,1779097371556756093,3.5981349270000003,39.246
INT8,1779097371660233351,3.701612185,45.759
INT8,1779097371751540459,3.792919293,47.255
INT8,1779097371869716510,3.911095344,42.317
INT8,1779097371979871349,4.021250183,44.791
INT8,1779097372099172857,4.140551691000001,48.593
INT8,1779097372171813343,4.213192177000001,36.491
INT8,1779097372271876093,4.313254927,40.727
INT8,1779097372360711080,4.402089914,40.363
INT8,1779097372467329608,4.5087084420000005,45.573
INT8,1779097372555531676,4.596910510000001,37.061
INT8,1779097372628336931,4.669715765,34.505
INT8,1779097372762186711,4.8035655450000005,47.833
INT8,1779097372828054026,4.86943286,35.611
INT8,1779097372989663532,5.031042366,52.872
INT8,1779097373083030833,5.124409667,44.374
INT8,1779097373163658653,5.205037487,51.482
INT8,1779097373238799066,5.2801779,34.947
INT8,1779097373331106678,5.372485512,39.113
INT8,1779097373498324786,5.53970362,47.942
INT8,1779097373580397196,5.62177603,49.132
INT8,1779097373660531631,5.701910465,38.649
INT8,1779097373747924783,5.789303617000001,34.294
INT8,1779097373853677463,5.895056297,36.402
INT8,1779097373998075430,6.039454264000001,41.672
INT8,1779097374097468894,6.138847728,55.385
INT8,1779097374144065319,6.185444153000001,36.231
INT8,1779097374272407526,6.313786360000001,50.32
INT8,1779097374350163567,6.391542401000001,38.269
INT8,1779097374445970538,6.487349372000001,34.461
INT8,1779097374602966272,6.644345106,51.715
INT8,1779097374670998256,6.71237709,33.778
INT8,1779097374749814084,6.791192918,36.291
INT8,1779097374858034655,6.8994134890000005,41.968
INT8,1779097374956692922,6.998071756000001,47.69
INT8,1779097375074062603,7.115441437,34.5
INT8,1779097375155800201,7.1971790350000004,40.185
INT8,1779097375297039311,7.338418145,46.308
INT8,1779097375361431364,7.402810198,33.857
INT8,1779097375451661870,7.493040704,35.817
INT8,1779097375567610876,7.60898971,45.283
INT8,1779097375623384569,7.664763403,32.747
INT8,1779097375775490521,7.816869355000001,53.907
INT8,1779097375887553875,7.928932709000001,43.048
INT8,1779097375999039124,8.040417958,44.163
INT8,1779097376088457504,8.129836338,47.11
INT8,1779097376148806604,8.190185438,34.626
INT8,1779097376254564241,8.295943075,38.14
INT8,1779097376344075528,8.385454362,39.029
INT8,1779097376488184590,8.529563424000001,43.839
INT8,1779097376559475795,8.600854629,34.631
INT8,1779097376668199200,8.709578034,43.363
INT8,1779097376740389652,8.781768486,35.629
INT8,1779097376864550139,8.905928973,37.579
INT8,1779097376943543961,8.984922795000001,38.342
INT8,1779097377037890836,9.07926967,34.698
INT8,1779097377173402583,9.214781417000001,39.507
INT8,1779097377272884786,9.31426362,39.52
INT8,1779097377341646303,9.383025137,34.78
INT8,1779097377456160077,9.497538911000001,38.319
INT8,1779097377526556247,9.567935081,30.475
INT8,1779097377668914930,9.710293764000001,33.621
INT8,1779097377787974046,9.82935288,43.798
INT8,1779097377875176993,9.916555827,39.837
INT8,1779097377979050552,10.020429386,55.19
INT8,1779097378093199860,10.134578694,54.58
INT8,1779097378162789137,10.204167971,36.138
INT8,1779097378269850469,10.311229303000001,48.091
INT8,1779097378339552841,10.380931675000001,34.594
INT8,1779097378443573761,10.484952595000001,34.318
INT8,1779097378546630081,10.588008915000001,35.401
INT8,1779097378662773221,10.704152055000002,36.385
INT8,1779097378739390535,10.780769369000001,39.677
INT8,1779097378878195982,10.919574816,34.816
INT8,1779097378966862819,11.008241653,37.715
INT8,1779097379064090215,11.105469049,45.66
INT8,1779097379150873771,11.192252605,43.539
INT8,1779097379246593145,11.287971979,34.756
INT8,1779097379404493278,11.445872112,57.811
INT8,1779097379450561610,11.491940444,40.922
INT8,1779097379588966771,11.630345605,36.88
INT8,1779097379682994892,11.724373726000001,37.805
INT8,1779097379759747419,11.801126253000001,31.103
INT8,1779097379883597274,11.924976108000001,62.857
INT8,1779097379942348532,11.983727366,36.086
INT8,1779097380083021050,12.124399884,44.744
INT8,1779097380151600691,12.192979525,31.333
INT8,1779097380254837126,12.296215960000001,47.2
INT8,1779097380362368586,12.40374742,34.25
INT8,1779097380473438824,12.514817658,44.856
INT8,1779097380531008302,12.572387136000001,35.761
INT8,1779097380673148275,12.714527109,43.406
INT8,1779097380777167681,12.818546515000001,39.412
INT8,1779097380835528866,12.8769077,36.067
INT8,1779097380999540183,13.040919017,54.271
INT8,1779097381080466826,13.12184566,44.051
INT8,1779097381182590277,13.223969111,40.782
INT8,1779097381261236146,13.302614980000001,42.807
INT8,1779097381336061881,13.377440715,32.582
INT8,1779097381445105254,13.486484088000001,34.725
INT8,1779097381544493443,13.585872277,34.074
INT8,1779097381664091234,13.705470068,36.126
INT8,1779097381733321913,13.774700747,36.558
INT8,1779097381874023676,13.915402510000002,44.285
INT8,1779097381942062753,13.983441587000002,31.56
INT8,1779097382067843656,14.10922249,35.326
INT8,1779097382161298589,14.202677423,37.911
INT8,1779097382281233844,14.322612678,43.413
INT8,1779097382331117926,14.37249676,35.599
INT8,1779097382463895540,14.505274374,58.205
INT8,1779097382541348591,14.582727425000002,32.147
INT8,1779097382647449296,14.688828130000001,36.326
INT8,1779097382743249806,14.784628640000001,40.045
INT8,1779097382859039782,14.900418616000001,39.533
INT8,1779097382970256336,15.011635170000002,38.274
INT8,1779097383070619928,15.111998762,35.704
INT8,1779097383134663216,15.176042050000001,33.838
INT8,1779097383258870945,15.300249779000001,36.571
INT8,1779097383352216939,15.393595773000001,50.602
INT8,1779097383461882567,15.503261401000001,34.496
INT8,1779097383538762374,15.580141208,45.723
INT8,1779097383630424956,15.67180379,32.35
INT8,1779097383736332942,15.777711776,32.152
INT8,1779097383865225299,15.906604133000002,53.962
INT8,1779097383929071082,15.970449916000002,32.647
INT8,1779097384069842326,16.11122116,47.368
INT8,1779097384140579407,16.181958241,33.334
INT8,1779097384257916757,16.299295591,33.194
INT8,1779097384350221871,16.391600705000002,35.126
INT8,1779097384437688145,16.479066979000002,34.817
INT8,1779097384563955786,16.60533462,39.149
INT8,1779097384668181462,16.709560296,39.121
INT8,1779097384742308734,16.783687568,42.999
INT8,1779097384866400202,16.907779036,48.802
INT8,1779097384964623545,17.006002379,33.048
INT8,1779097385051723909,17.093102743,33.558
INT8,1779097385191963739,17.233342573,66.916
INT8,1779097385252591699,17.293970533,37.247
INT8,1779097385344775195,17.386154029,38.303
INT8,1779097385456957265,17.498336099,35.752
INT8,1779097385536437160,17.577815994,42.094
INT8,1779097385665569597,17.706948431,43.64
INT8,1779097385723237192,17.764616026000002,34.131
INT8,1779097385807270542,17.848649376,33.344
INT8,1779097385919602429,17.960981263,35.417
INT8,1779097386031072781,18.072451615000002,32.689
INT8,1779097386116830762,18.158209596000003,35.959
INT8,1779097386215862644,18.257241478,36.391
INT8,1779097386325664812,18.367043646000003,33.399
INT8,1779097386418600781,18.459979615,34.184
INT8,1779097386526431092,18.567809926000002,35.191
INT8,1779097386623637500,18.665016334,34.721
INT8,1779097386746178030,18.787556864000003,33.167
INT8,1779097386826237118,18.867615952,33.006
INT8,1779097386932023173,18.973402007,33.122
INT8,1779097387035413616,19.076792450000003,42.731
INT8,1779097387140450423,19.181829257,33.716
INT8,1779097387258200740,19.299579574000003,54.251
INT8,1779097387374842360,19.416221194000002,38.96
INT8,1779097387425104743,19.466483577,33.742
INT8,1779097387534100742,19.575479576000003,33.777
INT8,1779097387642246855,19.683625689000003,30.437
INT8,1779097387733634511,19.775013345,34.216
INT8,1779097387825899986,19.867278820000003,33.259
INT8,1779097387921539168,19.962918002000002,32.303
INT8,1779097388055477024,20.096855858,37.395
INT8,1779097388143905487,20.185284321,37.443
INT8,1779097388221120001,20.262498835000002,32.464
