name,count,mean_ms,std_ms,median_ms,min_ms,max_ms,p50_ms,p90_ms,p95_ms,p99_ms,fps_from_mean,avg_interval_s
FP16,594,48.885496632996635,4.327937515204043,47.994,41.797,69.032,47.994,55.2608,56.9077,60.90570000000001,20.455964833648064,0.09991428380101182
INT8,594,36.61042087542088,5.401160367095145,34.7755,30.346,66.916,34.7755,43.7719,47.480700000000006,56.82241000000005,27.314627258802414,0.09992101463575043
