metric,bag,count,mean_ms,std_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,fps_from_mean,avg_interval_s
inference_ms,2_7_r01_t1,595,23.747615126050423,2.660622444032067,23.381,18.402,40.478,26.769000000000002,27.8446,33.56329999999999,42.10949161387705,0.999897400284512
inference_ms,2_7_r01_t2,595,23.60855966386555,2.4930567625367335,23.404,18.859,37.593,26.7438,27.422799999999995,31.48163999999995,42.35751838476473,0.9998944685673402
inference_ms,2_7_r1_t1,579,27.311545768566493,4.803841592320211,26.307,19.939,57.845,31.771200000000007,35.5386,48.14976000000003,36.614551533400345,0.09997401648961939
inference_ms,2_7_r1_t2,594,27.013281144781146,4.416608848496877,26.2265,20.776,59.826,30.861900000000006,35.415350000000004,43.48054000000001,37.018827688512616,0.099848566074199
inference_ms,bevfusion_2_7,598,31.819822742474912,4.606334485610976,30.875999999999998,22.843,60.981,37.1314,40.032199999999996,47.584519999999976,31.426950680813913,0.09975757642713569
inference_ms,bevfusion_2_7_slow,593,27.835517706576727,2.661492136887083,27.643,21.408,50.278,31.0856,32.1098,34.048840000000006,35.92532427603202,0.9998763259966216
preprocess_ms,2_7_r01_t1,595,3.8652033613445385,1.004742873912414,3.848,1.673,18.048,4.704000000000001,4.913799999999999,5.888699999999992,258.71859938881533,0.9998974205202021
preprocess_ms,2_7_r01_t2,595,3.8796857142857135,0.7016902620911633,3.892,1.682,8.027,4.6236,4.899799999999999,5.699239999999997,257.7528371223001,0.999894452878788
preprocess_ms,2_7_r1_t1,579,4.9732521588946454,1.8354501168868544,4.919,1.733,22.614,6.46,7.2174000000000005,11.004920000000013,201.07566800358256,0.09997402393252597
preprocess_ms,2_7_r1_t2,594,5.093148148148148,1.6324641817361423,4.896,1.761,17.583,6.795400000000001,7.6066,10.08614,196.34221721266772,0.09984856947386173
preprocess_ms,bevfusion_2_7,598,5.422409698996655,1.7605532350232258,5.084,1.774,24.545,6.8786000000000005,7.5898999999999965,11.689439999999989,184.41985307473846,0.09975755442211055
preprocess_ms,bevfusion_2_7_slow,593,4.079588532883642,0.5325953977235087,4.072,1.895,5.81,4.7382,4.894399999999999,5.23488,245.12275979292295,0.999876008089527
postprocess_ms,2_7_r01_t1,595,1.2924789915966388,0.9048009693277644,1.011,0.533,13.71,2.4082000000000003,2.814399999999999,3.7113599999999995,773.7069666135691,0.9998974116464646
postprocess_ms,2_7_r01_t2,595,1.1902470588235292,0.6317829122456821,0.986,0.534,6.036,2.0472000000000006,2.5833999999999997,3.120679999999999,840.1617064178472,0.9998944604579125
postprocess_ms,2_7_r1_t1,579,2.240222797927461,2.2209364314567384,1.374,0.579,28.864,4.323000000000001,5.661500000000001,9.641380000000034,446.38417255870644,0.09997399296020762
postprocess_ms,2_7_r1_t2,594,2.075279461279461,2.126517340475377,1.389,0.566,21.865,3.7573000000000043,4.724800000000009,12.844680000000002,481.86281349475473,0.09984856716863408
postprocess_ms,bevfusion_2_7,598,2.3206070234113714,3.171419241881584,1.4575,0.591,35.166,4.188600000000002,5.621699999999997,17.857239999999944,430.9217329394987,0.09975756583417086
postprocess_ms,bevfusion_2_7_slow,593,1.0764502529510962,0.5632886433744012,0.96,0.493,8.184,1.5920000000000003,1.8252,3.4451600000000013,928.9792977041835,0.9998766015810812
total_ms,2_7_r01_t1,595,30.021228571428573,3.2462068074647883,29.572,23.154,48.138,33.529,35.1896,40.659079999999996,33.30976271076752,0.99989742919697
total_ms,2_7_r01_t2,595,29.802226890756298,2.9102493203338744,29.538,22.804,42.988,33.556400000000004,34.737,38.42511999999996,33.554539520339276,0.9998944446750843
total_ms,2_7_r1_t1,579,35.901778929188254,5.822200672985799,34.595,26.118,63.018,41.7594,48.0748,58.89282000000002,27.85377298357205,0.09997400045328719
total_ms,2_7_r1_t2,594,35.529318181818184,5.488453233875991,34.361999999999995,26.521,73.412,40.94030000000001,46.113550000000004,57.06724000000003,28.145769498941334,0.09984857024114671
total_ms,bevfusion_2_7,598,40.77107692307692,6.586491057378909,39.064,29.013,73.658,48.08860000000001,53.155049999999996,68.53168999999998,24.527191221529595,0.09975754500335009
total_ms,bevfusion_2_7_slow,593,34.11213996627319,3.119690535573204,33.866,26.441,66.247,37.8012,39.0092,41.17084000000002,29.315076714293035,0.9998769803091215
