metric,bag,count,mean_ms,std_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,fps_from_mean,avg_interval_s
inference_ms,2_7_bag_slow,593,27.835517706576727,2.661492136887083,27.643,21.408,50.278,31.0856,32.1098,34.048840000000006,35.92532427603202,0.9998763259966216
inference_ms,2_7_new_plugin_bag,578,37.6307491349481,14.76303851088064,33.411500000000004,23.822,152.881,48.7456,59.91885,109.96610000000041,26.574012555899102,0.1002363782339688
inference_ms,2_7_new_plugin_bag_2,580,32.939212068965524,5.692794336417827,31.82,22.954,79.787,40.1893,43.07615,53.54502,30.358953271446776,0.09998939057858376
inference_ms,2_7_new_plugin_bag_3,598,31.819822742474912,4.606334485610976,30.875999999999998,22.843,60.981,37.1314,40.032199999999996,47.584519999999976,31.426950680813913,0.09975757642713569
inference_ms,2_7_old_plugin_bag,598,34.14669565217391,5.743742959222661,32.8755,21.444,71.56,40.77190000000001,44.86199999999999,55.43733999999999,29.285410517791526,0.0997952614120603
inference_ms,2_7_opt_bag,584,21.647102739726026,8.160002654301755,19.451999999999998,13.541,103.503,29.9423,35.81035,53.81271999999984,46.1955584552585,0.0999791833070326
inference_ms,2_7_opt_bag_2,595,18.326902521008403,3.2415730273029766,18.104,12.006,45.517,21.6884,23.3082,28.16843999999999,54.564594254467444,0.09977836782996634
inference_ms,2_7_opt_bag_3,594,18.90395622895623,3.9479604875874976,18.278,11.753,48.454,23.4141,25.938350000000003,32.852680000000014,52.89897986899933,0.09990202380775717
inference_ms,2_7_opt_bag_slow,595,16.27935966386555,2.2986222058946137,15.94,11.242,33.456,18.9388,19.6104,21.37887999999997,61.427477532771036,0.9999101894175086
preprocess_ms,2_7_bag_slow,593,4.079588532883642,0.5325953977235087,4.072,1.895,5.81,4.7382,4.894399999999999,5.23488,245.12275979292295,0.999876008089527
preprocess_ms,2_7_new_plugin_bag,578,5.462249134948097,2.12641931519203,5.311,1.727,22.153,7.3009,8.432999999999998,13.994300000000033,183.07476925610828,0.10023636031022531
preprocess_ms,2_7_new_plugin_bag_2,580,5.592927586206897,2.220890601475399,5.2085,1.801,25.135,7.297,8.557399999999998,16.459390000000035,178.79723715110646,0.09998938688082902
preprocess_ms,2_7_new_plugin_bag_3,598,5.422409698996655,1.7605532350232258,5.084,1.774,24.545,6.8786000000000005,7.5898999999999965,11.689439999999989,184.41985307473846,0.09975755442211055
preprocess_ms,2_7_old_plugin_bag,598,5.859929765886287,1.721042974910439,5.5325,2.086,17.83,7.650000000000001,8.822,11.959409999999979,170.65050946882033,0.0997951958157454
