metric,bag,sample_index,timestamp_ns,time_from_start_s,latency_ms
preprocess_ms,2_7_r1_t2,0,1780387837634183618,0.0,2.837
preprocess_ms,2_7_r1_t2,1,1780387837663002560,0.028818942,1.851
preprocess_ms,2_7_r1_t2,2,1780387837794641162,0.160457544,1.788
preprocess_ms,2_7_r1_t2,3,1780387837858603695,0.22442007700000002,3.894
preprocess_ms,2_7_r1_t2,4,1780387837960178187,0.325994569,3.069
preprocess_ms,2_7_r1_t2,5,1780387838071404921,0.437221303,6.093
preprocess_ms,2_7_r1_t2,6,1780387838192363714,0.5581800960000001,4.534
preprocess_ms,2_7_r1_t2,7,1780387838272625626,0.6384420080000001,5.386
preprocess_ms,2_7_r1_t2,8,1780387838409335364,0.775151746,2.445
preprocess_ms,2_7_r1_t2,9,1780387838457817829,0.823634211,3.973
preprocess_ms,2_7_r1_t2,10,1780387838555967776,0.921784158,8.295
preprocess_ms,2_7_r1_t2,11,1780387838683928795,1.0497451770000001,4.691
preprocess_ms,2_7_r1_t2,12,1780387838791966802,1.1577831840000001,4.228
preprocess_ms,2_7_r1_t2,13,1780387838878710540,1.2445269220000001,4.311
preprocess_ms,2_7_r1_t2,14,1780387838960841437,1.326657819,3.316
preprocess_ms,2_7_r1_t2,15,1780387839050929018,1.4167454000000002,4.639
preprocess_ms,2_7_r1_t2,16,1780387839168498726,1.5343151080000001,4.151
preprocess_ms,2_7_r1_t2,17,1780387839270622371,1.6364387530000002,5.574
preprocess_ms,2_7_r1_t2,18,1780387839370420927,1.736237309,5.661
preprocess_ms,2_7_r1_t2,19,1780387839462154553,1.8279709350000002,4.727
preprocess_ms,2_7_r1_t2,20,1780387839549186808,1.9150031900000002,2.214
preprocess_ms,2_7_r1_t2,21,1780387839657198988,2.02301537,4.422
preprocess_ms,2_7_r1_t2,22,1780387839770012714,2.135829096,5.128
preprocess_ms,2_7_r1_t2,23,1780387839858489558,2.2243059400000003,3.716
preprocess_ms,2_7_r1_t2,24,1780387839970174403,2.3359907850000003,3.341
preprocess_ms,2_7_r1_t2,25,1780387840067273513,2.433089895,3.861
preprocess_ms,2_7_r1_t2,26,1780387840158524642,2.5243410240000004,4.505
preprocess_ms,2_7_r1_t2,27,1780387840275761128,2.6415775100000003,6.299
preprocess_ms,2_7_r1_t2,28,1780387840360239725,2.7260561070000002,4.501
preprocess_ms,2_7_r1_t2,29,1780387840483346229,2.849162611,5.233
preprocess_ms,2_7_r1_t2,30,1780387840557679529,2.9234959110000003,5.508
preprocess_ms,2_7_r1_t2,31,1780387840654153339,3.0199697210000003,4.39
preprocess_ms,2_7_r1_t2,32,1780387840782561021,3.148377403,7.792
preprocess_ms,2_7_r1_t2,33,1780387840868472400,3.234288782,5.178
preprocess_ms,2_7_r1_t2,34,1780387840962725137,3.3285415190000003,4.546
preprocess_ms,2_7_r1_t2,35,1780387841062253960,3.4280703420000003,3.388
preprocess_ms,2_7_r1_t2,36,1780387841180900854,3.546717236,5.551
preprocess_ms,2_7_r1_t2,37,1780387841264888243,3.6307046250000004,4.178
preprocess_ms,2_7_r1_t2,38,1780387841350801793,3.7166181750000002,6.136
preprocess_ms,2_7_r1_t2,39,1780387841444726303,3.810542685,5.736
preprocess_ms,2_7_r1_t2,40,1780387841552349432,3.9181658140000004,6.583
preprocess_ms,2_7_r1_t2,41,1780387841665389449,4.031205831,3.641
preprocess_ms,2_7_r1_t2,42,1780387841769332249,4.135148631,4.029
preprocess_ms,2_7_r1_t2,43,1780387841857544535,4.223360917,3.984
preprocess_ms,2_7_r1_t2,44,1780387841954958728,4.3207751100000005,3.966
preprocess_ms,2_7_r1_t2,45,1780387842081515405,4.447331787,4.702
preprocess_ms,2_7_r1_t2,46,1780387842171760170,4.537576552,5.704
preprocess_ms,2_7_r1_t2,47,1780387842262170059,4.627986441,3.32
preprocess_ms,2_7_r1_t2,48,1780387842370939715,4.736756097000001,6.481
preprocess_ms,2_7_r1_t2,49,1780387842461257908,4.8270742900000005,4.883
preprocess_ms,2_7_r1_t2,50,1780387842564736203,4.930552585,4.163
preprocess_ms,2_7_r1_t2,51,1780387842656169860,5.0219862420000005,4.382
preprocess_ms,2_7_r1_t2,52,1780387842762092685,5.127909067,6.896
preprocess_ms,2_7_r1_t2,53,1780387842852322630,5.218139012,5.946
preprocess_ms,2_7_r1_t2,54,1780387842956791336,5.322607718,5.636
preprocess_ms,2_7_r1_t2,55,1780387843087081841,5.452898223,7.617
preprocess_ms,2_7_r1_t2,56,1780387843172484874,5.5383012560000004,5.475
preprocess_ms,2_7_r1_t2,57,1780387843246569329,5.612385711,1.775
